Position,NAME,TEAM,GOALS SCORED,GAMES,GOALS PER MATCH,Assists_Position,ASSISTS,ASSISTS PER MATCH,Pass_Position,Completed Pass,Total Pass,Pass_Completion_Rate,Goals_Per_90,Assists_Scaled
250,JAVIER MANQUILLO,RC CELTA,0,6,0.0,137,1,0.17,389,125,164,76.21951219512195,0.0,2.0620277328951575
250,JAÍLSON MARQUES SIQUEIRA,RC CELTA,0,8,0.0,137,1,0.13,398,106,143,74.12587412587412,0.0,1.4439023235026982
95,JONATHAN BAMBA,RC CELTA,2,22,0.09,74,2,0.09,190,482,602,80.06644518272425,8.181818181818182,0.8257769141102386
250,JOSEPH AIDOO,RC CELTA,0,6,0.0,239,0,0.0,371,142,181,78.45303867403315,0.0,-0.5650052570227949
12,JØRGEN STRAND LARSEN,RC CELTA,10,30,0.33,74,2,0.07,228,335,482,69.50207468879668,30.0,0.516714209414009
250,KEVIN VÁZQUEZ,RC CELTA,0,11,0.0,239,0,0.0,336,184,252,73.01587301587301,0.0,-0.5650052570227949
145,LUCA DE LA TORRE,RC CELTA,1,26,0.04,26,4,0.15,161,550,665,82.70676691729322,3.4615384615384617,1.7529650281989277
250,MANU SÁNCHEZ,RC CELTA,0,24,0.0,14,5,0.21,191,458,598,76.58862876254182,0.0,2.6801531422876166
250,MIGUEL RODRÍGUEZ,RC CELTA,0,11,0.0,239,0,0.0,474,46,59,77.96610169491525,0.0,-0.5650052570227949
250,MIHAILO RISTIC,RC CELTA,0,11,0.0,239,0,0.0,290,258,351,73.50427350427351,0.0,-0.5650052570227949
250,RAÚL GARCÍA,RC CELTA,0,0,0.0,239,0,0.0,566,0,0,78.37037287110228,5.637926011855362,-0.5650052570227949
250,RENATO TAPIA,RC CELTA,0,19,0.0,239,0,0.0,163,503,660,76.2121212121212,0.0,-0.5650052570227949
145,TADEO ALLENDE,RC CELTA,1,6,0.17,239,0,0.0,466,41,65,63.07692307692307,15.0,-0.5650052570227949
47,TASOS DOUVIKAS,RC CELTA,4,25,0.16,239,0,0.0,412,80,128,62.5,14.4,-0.5650052570227949
145,UNAI NÚÑEZ,RC CELTA,1,29,0.03,239,0,0.0,18,1156,1469,78.6929884275017,3.103448275862069,-0.5650052570227949
250,VICENTE GUAITA,RC CELTA,0,21,0.0,239,0,0.0,218,320,522,61.30268199233716,0.0,-0.5650052570227949
66,WILLIOT SWEDBERG,RC CELTA,3,10,0.3,239,0,0.0,501,24,33,72.72727272727273,27.0,-0.5650052570227949
95,ÓSCAR MINGUEZA,RC CELTA,2,30,0.07,74,2,0.07,43,874,1099,79.52684258416743,6.0,0.516714209414009
38,ABDÓN PRATS,RCD MALLORCA,5,26,0.19,137,1,0.04,363,113,195,57.948717948717956,17.30769230769231,0.053120152369664414
250,ALEJANDRO QUEVEDO,RCD MALLORCA,0,0,0.0,239,0,0.0,566,0,0,78.37037287110228,5.637926011855362,-0.5650052570227949
250,AMATH NDIAYE,RCD MALLORCA,0,15,0.0,239,0,0.0,427,73,104,70.1923076923077,0.0,-0.5650052570227949
250,ANTONIO LATORRE GRUESO,RCD MALLORCA,0,23,0.0,137,1,0.04,255,332,433,76.6743648960739,0.0,0.053120152369664414
66,ANTONIO RAÍLLO,RCD MALLORCA,3,18,0.17,239,0,0.0,148,590,696,84.77011494252874,15.0,-0.5650052570227949
66,ANTONIO SÁNCHEZ,RCD MALLORCA,3,23,0.13,137,1,0.04,265,290,401,72.31920199501248,11.739130434782608,0.053120152369664414
95,CYLE LARIN,RCD MALLORCA,2,28,0.07,74,2,0.07,346,157,239,65.69037656903765,6.428571428571428,0.516714209414009
95,DANI RODRÍGUEZ,RCD MALLORCA,2,28,0.07,26,4,0.14,185,471,617,76.33711507293354,6.428571428571428,1.598433675850813
250,DANIEL LUNA,RCD MALLORCA,0,0,0.0,239,0,0.0,566,0,0,78.37037287110228,5.637926011855362,-0.5650052570227949
250,DAVID LÓPEZ,RCD MALLORCA,0,0,0.0,239,0,0.0,566,0,0,78.37037287110228,5.637926011855362,-0.5650052570227949
250,DOMINIK GREIF,RCD MALLORCA,0,1,0.0,239,0,0.0,507,21,29,72.41379310344827,0.0,-0.5650052570227949
250,GIOVANNI GONZÁLEZ,RCD MALLORCA,0,28,0.0,137,1,0.04,118,592,782,75.70332480818415,0.0,0.053120152369664414
250,IVÁN CUÉLLAR,RCD MALLORCA,0,0,0.0,239,0,0.0,566,0,0,78.37037287110228,5.637926011855362,-0.5650052570227949
250,JAUME COSTA,RCD MALLORCA,0,25,0.0,239,0,0.0,236,356,471,75.58386411889597,0.0,-0.5650052570227949
145,JAVI LLABRÉS,RCD MALLORCA,1,14,0.07,239,0,0.0,479,40,52,76.92307692307693,6.428571428571428,-0.5650052570227949
145,JOSÉ MANUEL ARIAS COPETE,RCD MALLORCA,1,15,0.07,239,0,0.0,252,339,439,77.22095671981776,6.0,-0.5650052570227949
250,MANU MORLANES,RCD MALLORCA,0,27,0.0,137,1,0.04,194,495,592,83.61486486486487,0.0,0.053120152369664414
250,MARCOS FERNÁNDEZ,RCD MALLORCA,0,0,0.0,239,0,0.0,566,0,0,78.37037287110228,5.637926011855362,-0.5650052570227949
250,MARTIN VALJENT,RCD MALLORCA,0,22,0.0,239,0,0.0,136,586,730,80.27397260273973,0.0,-0.5650052570227949
95,MATIJA NASTASIC,RCD MALLORCA,2,22,0.09,239,0,0.0,123,609,763,79.81651376146789,8.181818181818182,-0.5650052570227949
250,MIGUEL MARTÍN GARCÍA,RCD MALLORCA,0,0,0.0,239,0,0.0,566,0,0,78.37037287110228,5.637926011855362,-0.5650052570227949
145,NACHO VIDAL,RCD MALLORCA,1,12,0.08,239,0,0.0,411,97,131,74.04580152671755,7.5,-0.5650052570227949
250,NEMANJA RADONJIC,RCD MALLORCA,0,5,0.0,239,0,0.0,487,30,44,68.18181818181817,0.0,-0.5650052570227949
250,OMAR MASCARELL,RCD MALLORCA,0,21,0.0,239,0,0.0,198,465,571,81.43607705779334,0.0,-0.5650052570227949
250,PABLO MAFFEO,RCD MALLORCA,0,17,0.0,74,2,0.12,304,211,322,65.527950310559,0.0,1.289370971154583
250,PAU MASCARÓ,RCD MALLORCA,0,0,0.0,239,0,0.0,566,0,0,78.37037287110228,5.637926011855362,-0.5650052570227949
250,PERE GARCÍA,RCD MALLORCA,0,0,0.0,239,0,0.0,566,0,0,78.37037287110228,5.637926011855362,-0.5650052570227949
250,PREDRAG RAJKOVIC,RCD MALLORCA,0,29,0.0,239,0,0.0,81,505,914,55.25164113785558,0.0,-0.5650052570227949
250,RUBÉN QUINTANILLA,RCD MALLORCA,0,0,0.0,239,0,0.0,566,0,0,78.37037287110228,5.637926011855362,-0.5650052570227949
145,SAMUEL DE ALMEIDA COSTA,RCD MALLORCA,1,28,0.04,137,1,0.04,93,670,869,77.10011507479861,3.214285714285714,0.053120152369664414
250,SERGI DARDER,RCD MALLORCA,0,28,0.0,26,4,0.14,171,504,641,78.62714508580343,0.0,1.598433675850813
250,SIEBE VAN DER HEYDEN,RCD MALLORCA,0,6,0.0,239,0,0.0,435,62,92,67.3913043478261,0.0,-0.5650052570227949
38,VEDAT MURIQI,RCD MALLORCA,5,22,0.23,74,2,0.09,227,312,499,62.525050100200396,20.454545454545453,0.8257769141102386
250,YUZÚN LEY,RCD MALLORCA,0,0,0.0,239,0,0.0,566,0,0,78.37037287110228,5.637926011855362,-0.5650052570227949
145,ABDE EZZALZOULI,REAL BETIS,1,22,0.05,239,0,0.0,326,200,272,73.52941176470588,4.090909090909091,-0.5650052570227949
250,ABNER VINÍCIUS DA SILVA SANTOS,REAL BETIS,0,18,0.0,239,0,0.0,211,438,541,80.96118299445472,0.0,-0.5650052570227949
95,AITOR RUIBAL,REAL BETIS,2,16,0.13,137,1,0.06,253,346,436,79.35779816513761,11.25,0.36218285706589404
250,ANDRÉS GUARDADO,REAL BETIS,0,12,0.0,239,0,0.0,320,247,284,86.97183098591549,0.0,-0.5650052570227949
95,ASSANE DIAO,REAL BETIS,2,18,0.11,239,0,0.0,335,198,254,77.95275590551181,10.0,-0.5650052570227949
47,AYOZE PÉREZ,REAL BETIS,4,23,0.17,137,1,0.04,235,367,472,77.7542372881356,15.652173913043478,0.053120152369664414
250,BORJA IGLESIAS,REAL BETIS,0,11,0.0,137,1,0.09,429,83,100,83.0,0.0,0.8257769141102386
250,CHADI RIAD,REAL BETIS,0,19,0.0,239,0,0.0,103,744,840,88.57142857142857,0.0,-0.5650052570227949
95,CHIMY ÁVILA,REAL BETIS,2,23,0.09,46,3,0.13,286,256,357,71.70868347338936,7.826086956521739,1.4439023235026982
250,CLAUDIO BRAVO,REAL BETIS,0,7,0.0,239,0,0.0,360,156,199,78.39195979899498,0.0,-0.5650052570227949
250,CÉDRIC BAKAMBU,REAL BETIS,0,1,0.0,239,0,0.0,547,4,5,80.0,0.0,-0.5650052570227949
250,DANIEL PÉREZ GUERRERO,REAL BETIS,0,0,0.0,239,0,0.0,566,0,0,78.37037287110228,5.637926011855362,-0.5650052570227949
250,ENRIQUE FERNÁNDEZ,REAL BETIS,0,0,0.0,239,0,0.0,566,0,0,78.37037287110228,5.637926011855362,-0.5650052570227949
250,FRANCISCO BARBOSA VIEITES,REAL BETIS,0,3,0.0,239,0,0.0,464,39,67,58.2089552238806,0.0,-0.5650052570227949
27,FRANCISCO ROMÁN ALARCÓN SUÁREZ,REAL BETIS,6,24,0.25,46,3,0.13,41,955,1110,86.03603603603604,22.5,1.4439023235026982
